RSSI(dBm),Raw(m),Filtered(m)
-48,0.11,0.10
-49,0.13,0.10
-49,0.13,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-47,0.10,0.11
-48,0.11,0.11
-47,0.10,0.11
-47,0.10,0.11
-48,0.11,0.10
-48,0.11,0.10
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-50,0.14,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-47,0.10,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-48,0.11,0.11
-47,0.10,0.11
-47,0.10,0.11
-47,0.10,0.11
-47,0.10,0.10
-49,0.13,0.10
-49,0.13,0.10
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-47,0.10,0.11
-48,0.11,0.11
-48,0.11,0.11
-47,0.10,0.11
-48,0.11,0.11
-47,0.10,0.11
-47,0.10,0.10
-48,0.11,0.10
-48,0.11,0.10
-48,0.11,0.11
-47,0.10,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-47,0.10,0.11
-48,0.11,0.11
-47,0.10,0.11
-47,0.10,0.11
-48,0.11,0.10
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-47,0.10,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-48,0.11,0.11
-49,0.13,0.11
-49,0.13,0.11
